arm,id,choices
simple_utility,P017,AAAAAAAAAABBBBBABAABAABAABABBB
simple_utility,P019,AAAAAAAAAABBBBAAABBBBBBBAABBBB
simple_utility,P031,AAAAAAAAAABABBAAABBBABBBAAABBB
simple_utility,P038,AAAAAAAAAABBBBAABBBBBBBBAAABBB
simple_utility,P039,AAAAAAAAAABBBBAAABBBABBBABABBB
simple_utility,P041,AAAAAAAAAABBBBBBBABBAABAABABBB
simple_utility,P042,AAAAAAAAAABBBBBABAABAABAABABBB
simple_utility,P043,AAAAAAAAAABABBABBBBBBBBBABABBB
simple_utility,P045,AAAAAAAAAABBBBAAAABBABBAABABBB
simple_utility,P049,AAAAAAAAAABBBBBAAAABAABAABABBB
learned_utility,T0_NONBUYER,AAAAAAAAAABBBBBAAAABAABAABABBB
learned_utility,T1,AAAAAAAAAABABBABBBBBBBBBAAABBB
learned_utility,T2,AAAAAAAAAABBBBABBBBBABBBABABBB
learned_utility,T3,AAAAAAAAAABABBABBBBBBBBBAAABBB
learned_utility,T4,AAAAAAAAAABABBABBBBABBBBAAABBB
learned_utility,T5,AAAAAAAAAABABBABBBBABBBBAAABBB
learned_utility,T6,AAAAAAAAAABBBBBAAAABAABAABABBB
learned_utility,T7,AAAAAAAAAABBBBAABABBAABAABABBB
learned_utility,T8,AAAAAAAAAABBBBABBBBBABBBABABBB
