type_id,n_customers,weight,age,txn_count,mean_price,recency_days,denim_share,woven_trouser_share,jersey_share,black_share,blue_share,grey_share,khaki_share,solid_share,denim_app_share,melange_share,pattern_share,trouser_share,leggings_share,dress_share,skirt_share,online_share
RB01,54024,0.03937666729835712,37.9673108248186,13.59105212498149,17.085615053591077,122.90456093588035,0.263234944711223,0.08790244573775731,0.21628088742032658,0.3057482780176441,0.291213276516435,0.07814968527053079,0.012562684574508577,0.41478043587457986,0.26446653199948233,0.047392689522295334,0.16232510346705165,0.3145451011636746,0.006381912279223842,0.055025778550498054,0.008916506252225048,0.3960636839046954
RB02,3987,0.002906019038178399,36.62452972159518,2.1168798595435163,16.70749469548575,209.20617005267118,0.008669536973308344,0.06950186953717129,0.7460628389763263,0.6472664423902953,0.10614343230657884,0.08543862364528759,0.007292683724482177,0.5722960922394962,0.01188871240669626,0.03826637249499135,0.13481060903363712,0.0017434931407611218,0.991545935318511,0.0006146961752680339,0.00015901849360590268,0.2920345808033825
RB03,21359,0.015568011195498476,38.89976122477644,2.4515660845545204,45.7141002821956,226.0552928507889,0.002390721786537586,0.013590995511387153,0.04862228658321686,0.48097805139844446,0.11216543782361015,0.0133036025607924,0.001300748394538815,0.8276064219038792,0.0052484549624186964,0.015383784481709918,0.06340688336714943,0.027322220485922505,0.00015760101748873802,0.02489828404647299,0.0006593454128087116,0.217798203935675
RB04,138625,0.10104010262540271,35.73254463480613,34.57456447249775,14.456882829191432,48.54884761045987,0.027890166837679007,0.07766766488708056,0.27471070949145554,0.32828903816425575,0.14738462189929336,0.061700786007386633,0.029898341676931988,0.525788115157224,0.04487981926641024,0.05535455384801223,0.249307062299515,0.10345818270052197,0.011552678229750897,0.09599783232327552,0.016896461997490068,0.43957818255501174
RB05,31895,0.02324742343182845,38.82564665308042,7.686847468255213,15.79359388722792,137.95626273710613,0.02557917190538262,0.1194583512739307,0.29809257895884667,0.23416663462634033,0.1219637507331344,0.057804414306347245,0.2668686160820105,0.5734244403633338,0.03664675611113526,0.0565414919508722,0.22034176500041802,0.15194786582701658,0.0035975546616465372,0.09870724861755696,0.01223887194752982,0.45570901984523576
RB06,16454,0.011992886193676293,39.52175762732466,3.7627932417649204,22.596086191151862,197.00960252826061,0.800272929292075,0.0498426747174714,0.04784079692401436,0.25560987793783485,0.5514441278698783,0.06406648467958198,0.004543470538279899,0.21789276027633825,0.7040320759430128,0.011658353591059878,0.03741237743168309,0.7880115783051732,0.0021372593112217804,0.018330357012225296,0.0028980865476249357,0.30781638760922786
RB07,18114,0.013202816367585534,39.09031688196975,2.875069007397593,20.779315229590416,179.528927901071,0.006849664679263543,0.887974794751289,0.033341190809470095,0.42870251906480633,0.2648006825905854,0.037932155900680276,0.004669112291089492,0.6776437160388039,0.02807638396852097,0.017238995444745074,0.21455903769736884,0.917354165821695,0.0008301168110312912,0.0055351236838876525,0.0006234107100511001,0.22080480729234558
RB08,40875,0.0297927083485182,38.953467889908254,5.1374189602446485,17.347684780663283,209.266250764526,0.0057715601438567505,0.03603213037904122,0.31288735156666186,0.2549545801873413,0.1496275776401006,0.1919631152649549,0.0038477563626730426,0.3260509474558299,0.011930904055298952,0.4742049161407851,0.1052494728482487,0.07163788086770657,0.0013591367364145048,0.030435475730984624,0.0012596945617559796,0.49264178551392845
RB09,12910,0.009409758159739937,35.09566227730441,6.188071262587142,18.96860117439526,144.87234701781566,0.048261361409452364,0.06585710245557914,0.19328909786551088,0.38809308466515496,0.14816413080376406,0.04471692442403875,0.015075882580704409,0.5178843566721976,0.08437408962650049,0.031961261230665165,0.2601310766038507,0.05259425757543739,0.0039980056021832215,0.07879143528550057,0.4246201350493667,0.2772004105323543
RB10,69790,0.05086808845609994,37.06185699957014,4.697836366241582,13.223371108297867,173.4330849691933,0.002626599811301447,0.011417413908797774,0.24454703502373207,0.18340453728812173,0.3182287851026266,0.02554186775913483,0.0014901070044034087,0.23419575380973162,0.0102108911028985,0.01043200687754689,0.6256514713746226,0.027644786215642116,0.0002244514584675213,0.032551401459516884,0.0004664652613907816,0.3748276100748946
RB11,47281,0.03446187262204988,36.025930077621034,17.483513462067215,15.07714548101388,99.53499291470146,0.022553533362710102,0.06799718942483167,0.39416418493683775,0.42041669429494605,0.12421661830005445,0.07772978869051758,0.015260491352530114,0.5395508456540301,0.034882845008864634,0.07202074444746312,0.19760655492157284,0.09199065202306347,0.13162762526752744,0.06991195942520524,0.013772898270026618,0.4914275562698282
RB12,38337,0.027942827154914796,38.614210814617735,4.31035292276391,21.946338493252142,141.9031483945014,0.003157456248050235,0.012810880515513948,0.23061303381606454,0.37574623921347733,0.1272505079929869,0.01654918583266669,0.003723699062672416,0.44128653156785186,0.009104847048700451,0.010316132779949734,0.4014949288890584,0.015325924782463623,0.0005110926213276007,0.8042512315493248,0.0014342384913572544,0.22984394299877534
RB13,3237,0.002359363839123019,38.9277108433735,1.8881680568427557,22.942362119423557,184.8316342292246,0.023402294364108546,0.14636556410602972,0.1942994901739804,0.0975590429139779,0.04507605009359632,0.021137910159207792,0.7167244360034332,0.668113597200394,0.022702310118974185,0.031774991990401465,0.20043860613053402,0.17881647056736075,0.0018044581297593345,0.10455715124877606,0.03547089843855855,0.3537020735932636
RB14,50463,0.036781148413242176,34.2356379921923,17.803737391752374,16.79369345372899,88.40360263955769,0.03148062266161653,0.0749358315403761,0.2283567177899102,0.35473640309682514,0.14125552102036537,0.04959986354101758,0.015535240292879945,0.5327045882145406,0.05712758223281433,0.04167023214618981,0.2512968402427248,0.0830746653659747,0.005602504064173155,0.10124121964581431,0.15625506818037974,0.3532120939206627
RB15,53715,0.0391514453563463,37.87649632318719,8.800372335474263,17.809376477744845,137.2644512705948,0.010856587247463953,0.3577294164494716,0.1990365003033402,0.35725311689221406,0.19846785202979136,0.05510939361497297,0.0087292710616337,0.5766768339231715,0.04708698814695265,0.03547331456117575,0.23394355433864913,0.3888945290979341,0.002025976926201899,0.05305906176648222,0.002985503129496303,0.3784524313803453
RB16,97598,0.07113660548987595,36.327824340662715,55.445623885735365,16.647123692845597,11.430592840017214,0.036340504806791726,0.09283638561408125,0.26105521776465485,0.3507000542996832,0.13555537111227736,0.062385713138224656,0.02027335990849378,0.5525993161436269,0.0537013964390768,0.059516143715589616,0.2179272289901748,0.1284469345175208,0.0161605855290043,0.09774057887803557,0.02527196551569979,0.3102446276815796
