type_id,n_customers,weight,age,ct_txn_count,ct_mean_price,ct_recency_days,denim_share,woven_trouser_share,jersey_share,black_share,blue_share,grey_share,khaki_share,solid_share,denim_app_share,melange_share,pattern_share
CB01,4474,0.0032609804807650256,39.94680375502906,2.4392042914617793,15.536366431574159,191.59566383549395,0.15082688016420762,0.6391829905124005,0.11566862296337872,0.5036403226849349,0.25415348266594706,0.1216746721048861,0.009976995384407293,0.5639674414387279,0.25561938623395863,0.042026341755907984,0.08830836963763193
CB02,14746,0.010747970087027508,37.1517699715177,1.046995795469958,16.252592793525896,218.1778787467788,0.004919968050761061,0.8955264789352803,0.029711611869004954,0.9252207160111716,0.017806826549082132,0.008108189714593768,0.002536453116003518,0.8596430481044918,0.006775540209278776,0.007190793329343819,0.07550676341408143
CB03,7830,0.005707080278138165,39.63397190293742,1.0527458492975734,14.661017241379284,233.64597701149424,0.00873610595623974,0.7948435266195298,0.07751246821239301,0.105866180309443,0.3612075085427103,0.23256548478596953,0.004318383861172054,0.1027687289663849,0.5411459540310465,0.03917013154216451,0.2911023329715885
CB04,2682,0.001954838991822038,39.06338553318419,2.5264727815063384,17.804024443459816,165.66778523489933,0.27772594431874686,0.46381351182191977,0.11967594818626455,0.4761106919059191,0.2905178614451105,0.07181616066270825,0.012168125441864786,0.5321092682804045,0.2922252152586668,0.030790252796469502,0.09907153686325772
CB05,5993,0.004368139477251855,35.8064408476556,1.0455531453362257,18.282335780632927,218.29901551810445,0.01037978742284323,0.7795894345696045,0.06268337761717607,0.08419115249441328,0.6021485255743633,0.15776116840632515,0.05816013114781751,0.885266699450441,0.014294537346916594,0.015170607896252948,0.05328157799657359
CB06,7810,0.005692502806163355,37.834571062740075,1.0860435339308578,20.61311395646604,205.12637644046094,0.8117871562683605,0.022584680116830395,0.04943148248269198,0.1686384303809313,0.6658619133321437,0.013593280286847127,0.004219920424535904,0.10325751581092577,0.8176372310419928,0.011963389130931774,0.04191757017499915
CB07,726,0.0005291622326856077,37.67493112947658,2.3236914600550964,28.501699035812646,188.02617079889808,0.30844869661422647,0.19305128891795612,0.16815729365771426,0.40599942416471724,0.22904751332102086,0.05641746920379174,0.013257550531623417,0.5454584653358845,0.19438644904497004,0.04421082677849702,0.13667493921273974
CB08,9216,0.006717299085992507,37.7705078125,1.0646701388888888,21.17387424045136,225.22287326388889,0.49939877084071754,0.01512179150201442,0.38236619590084653,0.8102788980948695,0.02628964173632266,0.012015836056742736,0.0037447685311535178,0.763099479710832,0.011805964145563017,0.13310929255167853,0.037197762493594744
CN_16-24,346392,0.2524759836149215,21.228688884269843,0.0,0.0,0.0,0.042899661418611075,0.08904313307617494,0.2590703996917887,0.34796203325941005,0.15526662409472164,0.07069936021640036,0.022116602944992673,0.5263300454013403,0.059079322854806285,0.06270012243521343,0.21968998528717054
CN_25-34,377965,0.27548870974795553,28.703946132578412,0.0,0.0,0.0,0.042899661418611075,0.08904313307617494,0.2590703996917887,0.34796203325941005,0.15526662409472164,0.07069936021640036,0.022116602944992673,0.5263300454013403,0.059079322854806285,0.06270012243521343,0.21968998528717054
CN_35-44,162090,0.11814312161984869,39.47480412116725,0.0,0.0,0.0,0.042899661418611075,0.08904313307617494,0.2590703996917887,0.34796203325941005,0.15526662409472164,0.07069936021640036,0.022116602944992673,0.5263300454013403,0.059079322854806285,0.06270012243521343,0.21968998528717054
CN_45-54,241334,0.17590198107844138,49.68943041593808,0.0,0.0,0.0,0.042899661418611075,0.08904313307617494,0.2590703996917887,0.34796203325941005,0.15526662409472164,0.07069936021640036,0.022116602944992673,0.5263300454013403,0.059079322854806285,0.06270012243521343,0.21968998528717054
CN_55+,175229,0.1277197918337002,61.20627293427458,0.0,0.0,0.0,0.042899661418611075,0.08904313307617494,0.2590703996917887,0.34796203325941005,0.15526662409472164,0.07069936021640036,0.022116602944992673,0.5263300454013403,0.059079322854806285,0.06270012243521343,0.21968998528717054
CN_UNKNOWN,15493,0.011292438665286666,0.0,0.0,0.0,0.0,0.042899661418611075,0.08904313307617494,0.2590703996917887,0.34796203325941005,0.15526662409472164,0.07069936021640036,0.022116602944992673,0.5263300454013403,0.059079322854806285,0.06270012243521343,0.21968998528717054
